Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Research Scientist,Research,Active,Low,108811,Doctorate,7,14281,21321,22,1,Pune,36
Factory Worker,Manufacturing,Declining,High,45038,High School,3,7420,8633,37,81,Mumbai,52
HR Manager,Corporate,Active,Moderate,97155,MBA,6,3127,3889,29,36,Chennai,54
Teacher,Education,Stable,Low,52564,Master,6,1587,1145,28,47,Pune,62
Customer Support Executive,Services,Declining,Moderate,34381,Bachelor,0,10365,13170,34,72,Jaipur,30
Factory Worker,Manufacturing,Declining,High,46463,High School,5,5853,6704,46,81,Ahmedabad,27
Factory Worker,Manufacturing,Declining,High,46658,High School,2,948,787,29,86,Bengaluru,47
Nurse,Healthcare,Stable,Low,84678,Bachelor,4,11011,7794,18,4,Delhi,56
Nurse,Healthcare,Stable,Low,81221,Bachelor,2,7764,13217,30,9,Delhi,73
Data Scientist,Technology,Active,High,134977,Master,2,7064,10408,77,17,Hyderabad,26
Nurse,Healthcare,Stable,Low,102307,Bachelor,6,5506,4706,27,13,Pune,43
Doctor,Healthcare,Stable,Low,143694,Doctorate,8,1847,1676,10,7,Mumbai,80
AI Engineer,Technology,Active,High,149849,Master,5,4589,8478,76,14,Jaipur,27
Factory Worker,Manufacturing,Declining,High,44396,High School,0,13076,13103,43,75,Delhi,51
HR Manager,Corporate,Active,Moderate,100995,MBA,5,10232,9752,8,26,Kolkata,55
Mechanical Engineer,Manufacturing,Stable,Moderate,98738,Bachelor,3,5733,4434,37,43,Ahmedabad,45
Graphic Designer,Media,Active,Moderate,67992,Bachelor,2,14811,10876,33,19,Delhi,72
Accountant,Finance,Active,Moderate,60815,Bachelor,3,3342,4509,40,76,Noida,31
HR Manager,Corporate,Active,Moderate,95172,MBA,4,5867,6270,15,37,Chennai,32
Cybersecurity Analyst,Technology,Active,Moderate,79118,Bachelor,2,1882,1415,54,30,Kolkata,32
Cashier,Retail,Declining,Moderate,25000,High School,2,3480,3535,52,81,Kolkata,7
Research Scientist,Research,Active,Low,140513,Doctorate,7,6682,7833,49,1,Noida,48
Cybersecurity Analyst,Technology,Active,Moderate,93505,Bachelor,3,839,1227,73,35,Bengaluru,47
Research Scientist,Research,Active,Low,129549,Doctorate,7,9650,7351,44,4,Noida,30
Nurse,Healthcare,Stable,Low,81571,Bachelor,3,4247,7968,72,13,Mumbai,61
Graphic Designer,Media,Active,Moderate,66634,Bachelor,4,3748,5359,36,29,Chennai,80
Factory Worker,Manufacturing,Declining,High,41498,High School,0,14456,13980,40,73,Delhi,62
Data Scientist,Technology,Active,High,146617,Master,1,7070,9092,75,26,Noida,53
Customer Support Executive,Services,Declining,Moderate,40518,Bachelor,2,10336,11047,4,71,Chennai,55
AI Engineer,Technology,Active,High,170193,Master,3,1959,2214,100,13,Pune,52
AI Engineer,Technology,Active,High,118972,Master,5,9793,7931,98,11,Mumbai,53
Data Scientist,Technology,Active,High,100112,Master,2,12273,23053,43,20,Jaipur,65
Customer Support Executive,Services,Declining,Moderate,36616,Bachelor,1,13170,18014,45,75,Ahmedabad,19
HR Manager,Corporate,Active,Moderate,71983,MBA,5,11536,18773,36,40,Ahmedabad,59
Software Engineer,Technology,Active,High,130507,Bachelor,3,4177,7233,100,32,Hyderabad,87
Cybersecurity Analyst,Technology,Active,Moderate,111232,Bachelor,3,14621,13430,84,18,Chennai,41
Accountant,Finance,Active,Moderate,77778,Bachelor,2,12729,15983,31,76,Ahmedabad,48
Customer Support Executive,Services,Declining,Moderate,44052,Bachelor,2,2633,3596,29,81,Kolkata,31
HR Manager,Corporate,Active,Moderate,80583,MBA,8,3885,4000,25,33,Noida,45
Cybersecurity Analyst,Technology,Active,Moderate,72765,Bachelor,1,14001,22014,52,38,Chennai,46
Factory Worker,Manufacturing,Declining,High,44119,High School,3,11595,10088,34,80,Hyderabad,46
Customer Support Executive,Services,Declining,Moderate,43073,Bachelor,0,3455,2765,40,85,Kolkata,44
Mechanical Engineer,Manufacturing,Stable,Moderate,99447,Bachelor,3,2891,2371,60,53,Bengaluru,34
Accountant,Finance,Active,Moderate,64725,Bachelor,3,4789,5630,25,81,Hyderabad,46
Doctor,Healthcare,Stable,Low,159565,Doctorate,9,7888,18703,18,22,Hyderabad,28
Cashier,Retail,Declining,Moderate,35955,High School,1,10050,11590,24,84,Ahmedabad,58
Software Engineer,Technology,Active,High,94143,Bachelor,1,669,506,100,24,Ahmedabad,42
AI Engineer,Technology,Active,High,157310,Master,6,14777,21001,78,14,Pune,71
Factory Worker,Manufacturing,Declining,High,47920,High School,0,7013,7752,19,98,Hyderabad,60
Factory Worker,Manufacturing,Declining,High,45793,High School,2,6783,6435,16,87,Kolkata,44
Factory Worker,Manufacturing,Declining,High,47980,High School,2,10284,10251,80,81,Chennai,47
Software Engineer,Technology,Active,High,90095,Bachelor,2,2061,2273,64,43,Jaipur,70
Data Scientist,Technology,Active,High,135782,Master,1,1353,1074,75,13,Pune,30
Research Scientist,Research,Active,Low,158932,Doctorate,8,4347,7975,34,17,Ahmedabad,34
Research Scientist,Research,Active,Low,145815,Doctorate,7,6304,8025,47,15,Noida,71
Nurse,Healthcare,Stable,Low,84871,Bachelor,3,13644,17092,28,12,Noida,57
Factory Worker,Manufacturing,Declining,High,52310,High School,4,12759,9946,62,81,Bengaluru,29
Data Scientist,Technology,Active,High,122197,Master,3,4655,6530,45,14,Jaipur,31
Doctor,Healthcare,Stable,Low,205641,Doctorate,6,6741,7850,38,12,Chennai,57
Customer Support Executive,Services,Declining,Moderate,51643,Bachelor,0,11497,12715,18,70,Pune,49
AI Engineer,Technology,Active,High,140494,Master,3,9667,11424,33,8,Bengaluru,37
Doctor,Healthcare,Stable,Low,226299,Doctorate,7,3438,6987,40,8,Chennai,14
AI Engineer,Technology,Active,High,103595,Master,5,8753,12527,82,7,Ahmedabad,31
Research Scientist,Research,Active,Low,155652,Doctorate,6,6057,5962,33,14,Ahmedabad,69
AI Engineer,Technology,Active,High,124271,Master,3,1968,3869,58,6,Pune,57
Factory Worker,Manufacturing,Declining,High,55362,High School,3,9190,7644,33,82,Kolkata,53
AI Engineer,Technology,Active,High,150552,Master,5,4766,6718,84,19,Mumbai,52
Cashier,Retail,Declining,Moderate,27349,High School,1,1223,981,49,89,Delhi,34
Graphic Designer,Media,Active,Moderate,65253,Bachelor,1,14781,11273,29,23,Chennai,91
Factory Worker,Manufacturing,Declining,High,39397,High School,1,6407,4794,36,87,Kolkata,32
Accountant,Finance,Active,Moderate,45841,Bachelor,1,14867,20850,48,87,Chennai,42
Doctor,Healthcare,Stable,Low,194927,Doctorate,7,14091,31127,56,1,Chennai,26
Teacher,Education,Stable,Low,47974,Master,5,5628,4971,54,15,Kolkata,50
Research Scientist,Research,Active,Low,152204,Doctorate,7,3203,2507,57,11,Pune,28
Factory Worker,Manufacturing,Declining,High,39035,High School,0,8549,8375,15,99,Delhi,56
Teacher,Education,Stable,Low,60292,Master,6,14476,20040,10,36,Ahmedabad,51
Data Scientist,Technology,Active,High,150702,Master,1,3595,2776,77,26,Delhi,39
Data Scientist,Technology,Active,High,140181,Master,4,4266,5320,40,18,Delhi,84
Data Scientist,Technology,Active,High,137044,Master,4,8204,7828,57,4,Chennai,43
AI Engineer,Technology,Active,High,141075,Master,7,12066,16286,48,32,Ahmedabad,48
Customer Support Executive,Services,Declining,Moderate,40714,Bachelor,1,2400,2868,13,75,Ahmedabad,42
Data Scientist,Technology,Active,High,137209,Master,3,7733,9575,71,16,Pune,66
Factory Worker,Manufacturing,Declining,High,37915,High School,2,9689,9203,37,94,Ahmedabad,42
Graphic Designer,Media,Active,Moderate,61299,Bachelor,0,8577,6201,65,13,Mumbai,25
HR Manager,Corporate,Active,Moderate,76701,MBA,6,12292,11144,19,23,Delhi,32
Software Engineer,Technology,Active,High,141877,Bachelor,1,6227,7130,43,39,Mumbai,60
Cybersecurity Analyst,Technology,Active,Moderate,103993,Bachelor,5,14724,16573,40,32,Chennai,57
AI Engineer,Technology,Active,High,148311,Master,4,14179,19216,47,20,Delhi,53
Factory Worker,Manufacturing,Declining,High,45738,High School,0,8835,10222,26,91,Chennai,65
Doctor,Healthcare,Stable,Low,181773,Doctorate,6,11364,24408,2,6,Noida,42
Cybersecurity Analyst,Technology,Active,Moderate,98133,Bachelor,3,10060,9302,70,35,Bengaluru,5
Teacher,Education,Stable,Low,45625,Master,4,13064,10488,68,23,Noida,62
AI Engineer,Technology,Active,High,135885,Master,3,7322,12472,85,9,Mumbai,66
Cybersecurity Analyst,Technology,Active,Moderate,110177,Bachelor,4,13087,12928,68,16,Ahmedabad,57
Nurse,Healthcare,Stable,Low,65522,Bachelor,2,2045,3046,17,17,Pune,13
Data Scientist,Technology,Active,High,146290,Master,4,5157,5230,95,16,Mumbai,21
Customer Support Executive,Services,Declining,Moderate,41428,Bachelor,1,6620,5198,12,84,Noida,16
Research Scientist,Research,Active,Low,164227,Doctorate,7,2237,3399,18,18,Pune,70
AI Engineer,Technology,Active,High,193365,Master,5,973,1639,89,25,Mumbai,24
Graphic Designer,Media,Active,Moderate,67236,Bachelor,1,14110,21555,20,37,Ahmedabad,73
Graphic Designer,Media,Active,Moderate,61270,Bachelor,2,10794,16286,30,46,Chennai,65
Doctor,Healthcare,Stable,Low,161510,Doctorate,9,11280,9405,44,1,Bengaluru,24
Cashier,Retail,Declining,Moderate,30108,High School,0,1218,1042,0,85,Noida,56
Graphic Designer,Media,Active,Moderate,76647,Bachelor,1,5823,5781,45,33,Noida,43
AI Engineer,Technology,Active,High,140607,Master,3,3963,6724,59,12,Bengaluru,59
Mechanical Engineer,Manufacturing,Stable,Moderate,88045,Bachelor,5,11045,13618,51,38,Chennai,63
Cashier,Retail,Declining,Moderate,30826,High School,0,13576,11591,62,99,Bengaluru,60
Factory Worker,Manufacturing,Declining,High,39952,High School,4,1658,1909,42,81,Jaipur,25
Doctor,Healthcare,Stable,Low,171606,Doctorate,7,6748,8335,17,7,Mumbai,43
Customer Support Executive,Services,Declining,Moderate,34888,Bachelor,3,4680,5065,44,61,Delhi,35
Cybersecurity Analyst,Technology,Active,Moderate,90586,Bachelor,3,13130,20108,96,28,Kolkata,28
Software Engineer,Technology,Active,High,118111,Bachelor,0,836,1010,79,37,Hyderabad,45
AI Engineer,Technology,Active,High,131595,Master,4,6865,9507,70,32,Kolkata,49
Accountant,Finance,Active,Moderate,68163,Bachelor,0,11103,15615,15,81,Delhi,51
Software Engineer,Technology,Active,High,110098,Bachelor,3,5391,4377,61,27,Ahmedabad,29
Mechanical Engineer,Manufacturing,Stable,Moderate,95841,Bachelor,0,7583,9042,1,36,Chennai,45
Research Scientist,Research,Active,Low,137712,Doctorate,9,11722,19331,24,15,Noida,46
AI Engineer,Technology,Active,High,132099,Master,4,6382,7035,77,11,Mumbai,30
HR Manager,Corporate,Active,Moderate,76841,MBA,2,6520,8623,52,29,Jaipur,54
Cybersecurity Analyst,Technology,Active,Moderate,94978,Bachelor,1,8521,7694,70,32,Ahmedabad,79
Research Scientist,Research,Active,Low,164020,Doctorate,7,6858,10774,0,15,Ahmedabad,85
Accountant,Finance,Active,Moderate,76379,Bachelor,2,9725,9744,14,69,Noida,40
Customer Support Executive,Services,Declining,Moderate,38620,Bachelor,1,1978,1901,32,81,Kolkata,14
Mechanical Engineer,Manufacturing,Stable,Moderate,81737,Bachelor,3,6533,11060,24,31,Noida,48
AI Engineer,Technology,Active,High,122575,Master,4,7612,6798,69,26,Kolkata,18
Software Engineer,Technology,Active,High,124938,Bachelor,0,1162,1242,76,27,Jaipur,52
Cashier,Retail,Declining,Moderate,33728,High School,1,8094,6201,56,79,Hyderabad,28
Nurse,Healthcare,Stable,Low,86340,Bachelor,5,11743,10908,36,14,Delhi,58
Research Scientist,Research,Active,Low,120435,Doctorate,6,8615,14471,5,19,Jaipur,67
Nurse,Healthcare,Stable,Low,82781,Bachelor,3,11104,20927,30,1,Jaipur,23
Software Engineer,Technology,Active,High,112058,Bachelor,2,5262,5056,85,37,Ahmedabad,76
Customer Support Executive,Services,Declining,Moderate,35240,Bachelor,4,1797,1577,17,77,Ahmedabad,24
Accountant,Finance,Active,Moderate,65826,Bachelor,3,2934,4339,0,74,Delhi,22
Nurse,Healthcare,Stable,Low,97969,Bachelor,5,5421,5978,19,16,Hyderabad,35
Teacher,Education,Stable,Low,54926,Master,7,7507,8417,36,40,Chennai,50
Doctor,Healthcare,Stable,Low,156497,Doctorate,8,1281,2927,47,1,Jaipur,29
Software Engineer,Technology,Active,High,105760,Bachelor,4,1238,1920,77,30,Jaipur,14
Software Engineer,Technology,Active,High,114730,Bachelor,5,8866,6332,69,40,Kolkata,83
Customer Support Executive,Services,Declining,Moderate,43419,Bachelor,0,2048,1868,30,65,Ahmedabad,54
Nurse,Healthcare,Stable,Low,87130,Bachelor,3,12301,9681,16,9,Noida,73
HR Manager,Corporate,Active,Moderate,74652,MBA,6,4651,6986,47,32,Pune,45
Accountant,Finance,Active,Moderate,63057,Bachelor,3,10093,7275,60,74,Mumbai,15
Mechanical Engineer,Manufacturing,Stable,Moderate,106766,Bachelor,4,8748,9563,60,20,Bengaluru,58
Software Engineer,Technology,Active,High,107425,Bachelor,2,12632,8845,90,30,Ahmedabad,36
AI Engineer,Technology,Active,High,142908,Master,4,13380,21384,77,14,Delhi,54
HR Manager,Corporate,Active,Moderate,92958,MBA,5,6938,7147,22,50,Bengaluru,56
Software Engineer,Technology,Active,High,129705,Bachelor,4,7319,10934,68,28,Chennai,22
Cashier,Retail,Declining,Moderate,33629,High School,0,10120,9414,28,99,Ahmedabad,48
Mechanical Engineer,Manufacturing,Stable,Moderate,100494,Bachelor,3,11481,8483,27,33,Ahmedabad,62
Doctor,Healthcare,Stable,Low,170836,Doctorate,8,13735,28863,31,1,Chennai,44
Cashier,Retail,Declining,Moderate,26306,High School,1,14776,11887,38,99,Delhi,45
Cybersecurity Analyst,Technology,Active,Moderate,95028,Bachelor,0,3532,5845,93,27,Mumbai,41
Factory Worker,Manufacturing,Declining,High,40892,High School,2,10396,9604,59,70,Chennai,27
HR Manager,Corporate,Active,Moderate,81714,MBA,7,11533,13354,47,37,Mumbai,20
Customer Support Executive,Services,Declining,Moderate,33880,Bachelor,2,9255,9106,40,79,Bengaluru,53
Data Scientist,Technology,Active,High,135357,Master,4,6970,13064,79,19,Mumbai,33
Data Scientist,Technology,Active,High,132742,Master,6,3313,3073,46,11,Ahmedabad,30
Graphic Designer,Media,Active,Moderate,55244,Bachelor,4,11834,16186,35,20,Kolkata,27
HR Manager,Corporate,Active,Moderate,85812,MBA,4,11276,11943,33,36,Noida,34
Factory Worker,Manufacturing,Declining,High,49573,High School,3,8474,11005,5,93,Chennai,45
Doctor,Healthcare,Stable,Low,193688,Doctorate,8,13822,20521,13,4,Noida,29
Cashier,Retail,Declining,Moderate,33707,High School,0,11815,13676,2,89,Kolkata,32
Mechanical Engineer,Manufacturing,Stable,Moderate,90963,Bachelor,4,5458,7941,34,28,Mumbai,23
AI Engineer,Technology,Active,High,106274,Master,4,2713,5435,58,16,Bengaluru,24
Cybersecurity Analyst,Technology,Active,Moderate,82468,Bachelor,5,2333,2888,70,37,Bengaluru,52
Factory Worker,Manufacturing,Declining,High,39341,High School,1,3583,2702,36,85,Bengaluru,15
Cybersecurity Analyst,Technology,Active,Moderate,104580,Bachelor,3,8382,11254,71,38,Delhi,43
Nurse,Healthcare,Stable,Low,76047,Bachelor,3,4461,3651,43,3,Kolkata,16
HR Manager,Corporate,Active,Moderate,77123,MBA,4,10757,10093,17,44,Jaipur,55
Cybersecurity Analyst,Technology,Active,Moderate,119990,Bachelor,1,1910,2382,75,29,Chennai,38
Mechanical Engineer,Manufacturing,Stable,Moderate,76237,Bachelor,4,8092,7740,24,23,Delhi,68
Graphic Designer,Media,Active,Moderate,75335,Bachelor,3,7412,11106,10,36,Bengaluru,46
Software Engineer,Technology,Active,High,108172,Bachelor,1,3221,6032,95,29,Delhi,41
Factory Worker,Manufacturing,Declining,High,48378,High School,2,12011,9176,45,86,Ahmedabad,48
Graphic Designer,Media,Active,Moderate,72806,Bachelor,1,8224,9645,34,39,Bengaluru,47
HR Manager,Corporate,Active,Moderate,105743,MBA,4,7864,7221,45,39,Noida,37
Cybersecurity Analyst,Technology,Active,Moderate,69689,Bachelor,3,3798,4829,83,17,Chennai,60
Doctor,Healthcare,Stable,Low,191759,Doctorate,7,14089,28641,48,6,Kolkata,26
Data Scientist,Technology,Active,High,114739,Master,2,5969,9205,84,3,Bengaluru,23
Software Engineer,Technology,Active,High,105844,Bachelor,3,10828,17918,59,26,Kolkata,16
Customer Support Executive,Services,Declining,Moderate,37367,Bachelor,2,14403,11283,74,80,Ahmedabad,73
Factory Worker,Manufacturing,Declining,High,48952,High School,1,9980,8414,23,92,Noida,51
Factory Worker,Manufacturing,Declining,High,42258,High School,1,9581,8163,29,82,Chennai,53
Data Scientist,Technology,Active,High,125543,Master,1,8487,7781,61,16,Kolkata,36
Graphic Designer,Media,Active,Moderate,65045,Bachelor,3,8910,10601,59,26,Noida,8
Factory Worker,Manufacturing,Declining,High,43169,High School,2,10518,9198,32,72,Ahmedabad,30
Cybersecurity Analyst,Technology,Active,Moderate,101741,Bachelor,2,12202,13750,82,37,Bengaluru,49
Teacher,Education,Stable,Low,46188,Master,6,811,956,59,17,Kolkata,61
Doctor,Healthcare,Stable,Low,147093,Doctorate,8,5674,12538,74,5,Jaipur,48
Software Engineer,Technology,Active,High,111910,Bachelor,1,4888,8433,78,46,Kolkata,73
Research Scientist,Research,Active,Low,137620,Doctorate,7,8255,8151,64,10,Mumbai,82
Graphic Designer,Media,Active,Moderate,58617,Bachelor,6,10702,15411,18,39,Pune,28
Graphic Designer,Media,Active,Moderate,62931,Bachelor,5,11928,11819,14,23,Kolkata,44
Data Scientist,Technology,Active,High,93326,Master,5,3143,3804,83,29,Chennai,61
Factory Worker,Manufacturing,Declining,High,41922,High School,1,3649,4513,55,98,Ahmedabad,65
Cashier,Retail,Declining,Moderate,30788,High School,0,7678,7950,48,90,Hyderabad,28
Teacher,Education,Stable,Low,58749,Master,6,4099,2889,25,24,Noida,23
Research Scientist,Research,Active,Low,151157,Doctorate,7,11722,11357,34,1,Pune,67
Research Scientist,Research,Active,Low,148338,Doctorate,7,10364,11493,46,25,Ahmedabad,27
AI Engineer,Technology,Active,High,119810,Master,3,14969,29290,72,8,Chennai,38
Factory Worker,Manufacturing,Declining,High,31815,High School,1,12155,13772,24,68,Kolkata,15
Customer Support Executive,Services,Declining,Moderate,37177,Bachelor,1,14149,15634,47,85,Pune,33
Mechanical Engineer,Manufacturing,Stable,Moderate,82049,Bachelor,5,8238,11381,44,54,Delhi,70
Doctor,Healthcare,Stable,Low,220866,Doctorate,8,3894,6018,24,16,Chennai,41
Factory Worker,Manufacturing,Declining,High,49740,High School,0,12775,9849,38,88,Mumbai,59
Nurse,Healthcare,Stable,Low,80209,Bachelor,5,8411,15125,13,10,Delhi,22
AI Engineer,Technology,Active,High,116186,Master,3,3768,7665,37,7,Delhi,20
Doctor,Healthcare,Stable,Low,190718,Doctorate,8,8563,12302,6,6,Mumbai,42
Mechanical Engineer,Manufacturing,Stable,Moderate,104535,Bachelor,4,7315,11348,44,28,Ahmedabad,40
Accountant,Finance,Active,Moderate,79033,Bachelor,1,4345,3747,20,86,Hyderabad,81
Teacher,Education,Stable,Low,65508,Master,3,1270,1851,33,22,Bengaluru,30
Cashier,Retail,Declining,Moderate,25000,High School,3,14932,13672,35,99,Chennai,35
Cashier,Retail,Declining,Moderate,28439,High School,1,11590,10118,24,76,Delhi,36
AI Engineer,Technology,Active,High,127466,Master,7,14065,28163,61,20,Jaipur,31
Data Scientist,Technology,Active,High,95246,Master,4,13718,13268,60,6,Mumbai,40
Cashier,Retail,Declining,Moderate,34188,High School,2,7555,6174,56,93,Mumbai,6
Doctor,Healthcare,Stable,Low,194306,Doctorate,11,4214,6537,33,1,Mumbai,71
Teacher,Education,Stable,Low,39751,Master,5,4171,5330,50,38,Ahmedabad,65
Accountant,Finance,Active,Moderate,66615,Bachelor,3,6075,9717,33,71,Pune,38
Mechanical Engineer,Manufacturing,Stable,Moderate,104835,Bachelor,3,1264,1208,50,45,Jaipur,19
Accountant,Finance,Active,Moderate,68310,Bachelor,4,2976,3098,0,71,Jaipur,40
Doctor,Healthcare,Stable,Low,169760,Doctorate,9,11468,18793,42,20,Mumbai,59
Factory Worker,Manufacturing,Declining,High,51614,High School,0,1326,1690,30,86,Ahmedabad,43
Mechanical Engineer,Manufacturing,Stable,Moderate,96868,Bachelor,4,7989,10587,25,37,Mumbai,33
Software Engineer,Technology,Active,High,114230,Bachelor,1,13306,16932,47,28,Noida,34
Doctor,Healthcare,Stable,Low,170237,Doctorate,9,13314,24702,30,14,Mumbai,40
HR Manager,Corporate,Active,Moderate,76727,MBA,6,9715,12741,34,38,Bengaluru,33
Teacher,Education,Stable,Low,57023,Master,5,2227,2049,8,24,Delhi,54
Nurse,Healthcare,Stable,Low,103787,Bachelor,3,2434,3362,22,10,Hyderabad,63
Research Scientist,Research,Active,Low,144466,Doctorate,5,6425,5482,62,21,Delhi,32
Factory Worker,Manufacturing,Declining,High,45360,High School,0,5286,6353,36,81,Ahmedabad,33
Mechanical Engineer,Manufacturing,Stable,Moderate,77737,Bachelor,3,8788,11370,36,47,Ahmedabad,23
Factory Worker,Manufacturing,Declining,High,47322,High School,1,14762,16051,54,99,Mumbai,59
AI Engineer,Technology,Active,High,137717,Master,4,11101,15845,67,21,Pune,57
Cashier,Retail,Declining,Moderate,26678,High School,0,13921,12664,55,85,Delhi,52
Software Engineer,Technology,Active,High,113020,Bachelor,3,14403,18160,26,33,Hyderabad,47
Graphic Designer,Media,Active,Moderate,62499,Bachelor,5,7311,5271,38,31,Bengaluru,61
Cybersecurity Analyst,Technology,Active,Moderate,91262,Bachelor,2,14177,16214,80,37,Ahmedabad,50
Cashier,Retail,Declining,Moderate,34901,High School,0,5198,5877,35,70,Jaipur,49
AI Engineer,Technology,Active,High,141050,Master,6,1896,2668,56,9,Chennai,53
Cashier,Retail,Declining,Moderate,28240,High School,0,12217,14365,53,83,Kolkata,56
Cashier,Retail,Declining,Moderate,27092,High School,0,10812,10066,7,90,Hyderabad,57
AI Engineer,Technology,Active,High,133918,Master,6,12840,28180,83,19,Jaipur,48
Customer Support Executive,Services,Declining,Moderate,35679,Bachelor,1,13397,15225,21,99,Hyderabad,66
AI Engineer,Technology,Active,High,135021,Master,3,13636,24632,91,17,Kolkata,55
Customer Support Executive,Services,Declining,Moderate,37715,Bachelor,1,7206,6050,20,83,Ahmedabad,57
HR Manager,Corporate,Active,Moderate,77317,MBA,4,8956,11631,43,33,Pune,47
Data Scientist,Technology,Active,High,130840,Master,3,7751,11505,100,17,Delhi,35
Mechanical Engineer,Manufacturing,Stable,Moderate,94064,Bachelor,4,662,645,51,49,Jaipur,19
Software Engineer,Technology,Active,High,108331,Bachelor,3,1889,1705,82,43,Pune,60
Cashier,Retail,Declining,Moderate,29068,High School,1,7080,8806,40,83,Delhi,28
Customer Support Executive,Services,Declining,Moderate,48698,Bachelor,3,1507,1735,33,71,Kolkata,44
Mechanical Engineer,Manufacturing,Stable,Moderate,87152,Bachelor,4,1107,1640,20,38,Delhi,14
Research Scientist,Research,Active,Low,148749,Doctorate,8,9913,15325,57,21,Bengaluru,42
Nurse,Healthcare,Stable,Low,79939,Bachelor,4,12187,21887,6,9,Jaipur,51
Accountant,Finance,Active,Moderate,62935,Bachelor,0,7369,7271,21,90,Kolkata,33
Research Scientist,Research,Active,Low,150256,Doctorate,7,11655,15399,8,8,Jaipur,34
HR Manager,Corporate,Active,Moderate,89197,MBA,0,5486,7271,29,27,Pune,31
Research Scientist,Research,Active,Low,141350,Doctorate,9,6138,7633,48,22,Bengaluru,46
HR Manager,Corporate,Active,Moderate,89245,MBA,8,5083,7462,1,44,Jaipur,66
Doctor,Healthcare,Stable,Low,181768,Doctorate,8,2906,4023,54,18,Kolkata,44
Graphic Designer,Media,Active,Moderate,62498,Bachelor,2,11049,15486,65,37,Hyderabad,44
Research Scientist,Research,Active,Low,131065,Doctorate,6,9419,11453,0,14,Noida,58
Mechanical Engineer,Manufacturing,Stable,Moderate,77574,Bachelor,6,10628,15719,10,34,Ahmedabad,69
Factory Worker,Manufacturing,Declining,High,36424,High School,5,6156,7525,28,94,Kolkata,62
Mechanical Engineer,Manufacturing,Stable,Moderate,68522,Bachelor,2,3732,5103,56,41,Chennai,54
Software Engineer,Technology,Active,High,113573,Bachelor,1,1105,1492,63,42,Jaipur,78
Cashier,Retail,Declining,Moderate,25000,High School,3,6889,4975,38,83,Delhi,48
Teacher,Education,Stable,Low,62329,Master,3,9360,7730,55,16,Chennai,32
Cybersecurity Analyst,Technology,Active,Moderate,97922,Bachelor,2,2020,1949,74,22,Jaipur,43
Teacher,Education,Stable,Low,58793,Master,5,5615,8397,53,23,Jaipur,32
Cashier,Retail,Declining,Moderate,29880,High School,2,12903,10480,68,87,Delhi,49
Data Scientist,Technology,Active,High,137714,Master,2,956,1017,85,20,Jaipur,67
Doctor,Healthcare,Stable,Low,192766,Doctorate,6,4738,7015,28,13,Hyderabad,57
HR Manager,Corporate,Active,Moderate,78541,MBA,4,13183,20757,29,36,Chennai,44
Factory Worker,Manufacturing,Declining,High,40698,High School,0,7426,8161,4,83,Jaipur,23
Software Engineer,Technology,Active,High,118080,Bachelor,4,12492,13635,91,40,Bengaluru,18
HR Manager,Corporate,Active,Moderate,90254,MBA,5,6610,5107,51,41,Chennai,50
Nurse,Healthcare,Stable,Low,72267,Bachelor,3,8814,12902,65,21,Pune,74
Software Engineer,Technology,Active,High,124972,Bachelor,1,1282,1258,75,33,Mumbai,45
Graphic Designer,Media,Active,Moderate,76161,Bachelor,4,5381,4924,49,53,Noida,40
Factory Worker,Manufacturing,Declining,High,35912,High School,1,585,630,50,78,Ahmedabad,33
Cashier,Retail,Declining,Moderate,27471,High School,1,4368,3649,1,85,Noida,13
Doctor,Healthcare,Stable,Low,200165,Doctorate,9,12208,27982,29,9,Jaipur,48
HR Manager,Corporate,Active,Moderate,104547,MBA,6,10257,12609,39,43,Hyderabad,46
Cashier,Retail,Declining,Moderate,29569,High School,2,5402,4347,44,84,Chennai,26
Nurse,Healthcare,Stable,Low,73618,Bachelor,4,13357,16041,24,5,Noida,58
Nurse,Healthcare,Stable,Low,89556,Bachelor,4,2793,2086,28,13,Kolkata,36
Teacher,Education,Stable,Low,60193,Master,5,12583,13582,31,26,Hyderabad,34
Software Engineer,Technology,Active,High,104809,Bachelor,2,5871,5205,82,29,Jaipur,48
Doctor,Healthcare,Stable,Low,149488,Doctorate,8,3654,4090,35,19,Pune,37
Graphic Designer,Media,Active,Moderate,79366,Bachelor,1,2105,2242,38,26,Delhi,33
Factory Worker,Manufacturing,Declining,High,41988,High School,0,7474,8650,42,77,Kolkata,63
Software Engineer,Technology,Active,High,127297,Bachelor,4,2011,3735,88,41,Bengaluru,38
Customer Support Executive,Services,Declining,Moderate,40676,Bachelor,1,2630,2026,42,87,Ahmedabad,52
Cybersecurity Analyst,Technology,Active,Moderate,105044,Bachelor,2,7809,8160,95,38,Mumbai,43
Cashier,Retail,Declining,Moderate,28473,High School,0,11589,13623,36,76,Jaipur,48
Customer Support Executive,Services,Declining,Moderate,40608,Bachelor,0,10137,9283,45,99,Jaipur,39
Teacher,Education,Stable,Low,53782,Master,6,13260,16740,30,33,Kolkata,28
HR Manager,Corporate,Active,Moderate,95513,MBA,6,4820,3679,40,44,Noida,26
Graphic Designer,Media,Active,Moderate,64785,Bachelor,1,10927,12002,22,27,Kolkata,48
