Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Doctor,Healthcare,Stable,Low,177667.0,Doctorate,7,13639,12680,38.0,1.0,Ahmedabad,49.0
Teacher,Education,Stable,Low,71471.0,Master,6,6465,6569,22.0,16.0,Mumbai,67.0
AI Engineer,Technology,Active,High,145265.0,Master,2,2921,3647,63.0,22.0,Delhi,35.0
Software Engineer,Technology,Active,Moderate,107797.0,Bachelor,3,14632,20256,72.0,27.0,Jaipur,37.0
Accountant,Finance,Stable,Moderate,72133.0,Bachelor,4,15357,16166,38.0,69.0,Delhi,41.0
Factory Worker,Manufacturing,Declining,High,45915.0,High School,1,13443,8866,27.0,95.0,Pune,26.0
Factory Worker,Manufacturing,Declining,High,44359.0,High School,3,1944,1456,27.0,77.0,Delhi,36.0
Accountant,Finance,Stable,Moderate,74348.0,Bachelor,3,16994,15532,37.0,70.0,Mumbai,29.0
Teacher,Education,Stable,Low,66329.0,Master,6,15440,18353,17.0,28.0,Bengaluru,49.0
Software Engineer,Technology,Active,Moderate,96726.0,Bachelor,1,9572,12844,55.0,30.0,Pune,32.0
Data Scientist,Technology,Active,High,137636.0,Master,2,8339,9568,87.0,11.0,Pune,54.0
Cashier,Retail,Declining,High,37258.0,High School,0,4120,3537,20.0,92.0,Kolkata,27.0
Graphic Designer,Media,Active,Moderate,60342.0,Bachelor,5,9145,13315,41.0,45.0,Ahmedabad,47.0
Nurse,Healthcare,Stable,Low,79789.0,Bachelor,3,13611,14526,49.0,5.0,Delhi,33.0
Cashier,Retail,Declining,High,29248.0,High School,2,2788,2208,35.0,83.0,Bengaluru,47.0
Graphic Designer,Media,Active,Moderate,55447.0,Bachelor,4,6142,9321,36.0,42.0,Noida,56.0
Accountant,Finance,Stable,Moderate,72011.0,Bachelor,6,17247,17900,34.0,64.0,Delhi,60.0
Software Engineer,Technology,Active,Moderate,109418.0,Bachelor,0,17110,23666,100.0,32.0,Pune,47.0
Cybersecurity Analyst,Technology,Stable,Moderate,95980.0,Bachelor,1,11842,11709,66.0,37.0,Chennai,54.0
Data Scientist,Technology,Active,High,135621.0,Master,5,17611,22101,52.0,7.0,Hyderabad,73.0
Cashier,Retail,Declining,High,35002.0,High School,1,13407,10065,44.0,87.0,Kolkata,29.0
Cybersecurity Analyst,Technology,Stable,Moderate,86751.0,Bachelor,5,3583,3607,47.0,31.0,Ahmedabad,41.0
Accountant,Finance,Stable,Moderate,66378.0,Bachelor,6,15683,16356,48.0,66.0,Mumbai,46.0
Accountant,Finance,Stable,Moderate,74085.0,Bachelor,2,15649,14477,59.0,52.0,Pune,37.0
Software Engineer,Technology,Active,Moderate,97479.0,Bachelor,1,17297,24279,72.0,25.0,Bengaluru,35.0
Software Engineer,Technology,Active,Moderate,109717.0,Bachelor,2,14219,15692,36.0,29.0,Kolkata,25.0
Data Scientist,Technology,Active,High,119511.0,Master,3,1005,1431,78.0,16.0,Mumbai,56.0
Factory Worker,Manufacturing,Declining,High,46767.0,High School,0,10981,9564,17.0,89.0,Noida,17.0
Cashier,Retail,Declining,High,33607.0,High School,1,7778,5578,4.0,82.0,Ahmedabad,49.0
Nurse,Healthcare,Stable,Low,86697.0,Bachelor,5,12906,12494,6.0,9.0,Bengaluru,51.0
Cybersecurity Analyst,Technology,Stable,Moderate,92200.0,Bachelor,2,15891,17143,62.0,22.0,Pune,56.0
Cashier,Retail,Declining,High,35905.0,High School,0,16503,14773,12.0,92.0,Pune,28.0
Research Scientist,Research,Active,Low,135067.0,Doctorate,9,15828,19393,41.0,15.0,Mumbai,46.0
Software Engineer,Technology,Active,Moderate,108002.0,Bachelor,2,8266,13190,47.0,33.0,Bengaluru,48.0
Nurse,Healthcare,Stable,Low,90553.0,Bachelor,3,12637,13061,31.0,6.0,Chennai,30.0
Cashier,Retail,Declining,High,34367.0,High School,3,13251,8210,38.0,96.0,Mumbai,19.0
Data Scientist,Technology,Active,High,109015.0,Master,7,6379,8595,68.0,21.0,Ahmedabad,35.0
AI Engineer,Technology,Active,High,122251.0,Master,6,14409,17603,72.0,14.0,Mumbai,57.0
Doctor,Healthcare,Stable,Low,150074.0,Doctorate,5,7419,6862,29.0,1.0,Hyderabad,34.0
Software Engineer,Technology,Active,Moderate,94949.0,Bachelor,4,13874,20810,68.0,39.0,Hyderabad,28.0
Accountant,Finance,Stable,Moderate,69946.0,Bachelor,1,7244,7721,55.0,66.0,Pune,54.0
Software Engineer,Technology,Active,Moderate,103507.0,Bachelor,3,14581,18952,56.0,33.0,Bengaluru,36.0
Graphic Designer,Media,Active,Moderate,55486.0,Bachelor,2,5037,7054,44.0,41.0,Ahmedabad,43.0
Accountant,Finance,Stable,Moderate,72521.0,Bachelor,5,17521,20675,38.0,63.0,Delhi,15.0
Accountant,Finance,Stable,Moderate,69796.0,Bachelor,2,1142,1258,23.0,71.0,Noida,33.0
Research Scientist,Research,Active,Low,133956.0,Doctorate,3,2591,3396,18.0,1.0,Noida,50.0
Teacher,Education,Stable,Low,59227.0,Master,2,16824,19882,29.0,19.0,Noida,39.0
AI Engineer,Technology,Active,High,130133.0,Master,6,6690,9646,72.0,12.0,Delhi,39.0
Software Engineer,Technology,Active,Moderate,106620.0,Bachelor,2,13694,18413,69.0,31.0,Jaipur,57.0
Factory Worker,Manufacturing,Declining,High,42851.0,High School,1,11546,8576,34.0,86.0,Noida,43.0
Teacher,Education,Stable,Low,62743.0,Master,5,14718,16164,67.0,13.0,Jaipur,46.0
Research Scientist,Research,Active,Low,173560.0,Doctorate,8,9134,12219,58.0,16.0,Chennai,65.0
Teacher,Education,Stable,Low,72364.0,Master,7,12234,13512,33.0,21.0,Chennai,25.0
Accountant,Finance,Stable,Moderate,68741.0,Bachelor,5,5370,6077,48.0,72.0,Delhi,43.0
Teacher,Education,Stable,Low,59069.0,Master,5,17786,17527,4.0,26.0,Chennai,43.0
Research Scientist,Research,Active,Low,159237.0,Doctorate,7,11286,14193,53.0,6.0,Noida,52.0
Graphic Designer,Media,Active,Moderate,64694.0,Bachelor,5,8121,11260,41.0,34.0,Hyderabad,30.0
Cybersecurity Analyst,Technology,Stable,Moderate,87955.0,Bachelor,3,10521,12454,95.0,23.0,Pune,44.0
Graphic Designer,Media,Active,Moderate,62461.0,Bachelor,4,5347,7378,41.0,38.0,Delhi,42.0
Cashier,Retail,Declining,High,31270.0,High School,0,11563,10123,31.0,99.0,Mumbai,41.0
Nurse,Healthcare,Stable,Low,80598.0,Bachelor,4,16740,16170,25.0,4.0,Jaipur,48.0
Factory Worker,Manufacturing,Declining,High,44561.0,High School,1,14679,9762,31.0,96.0,Noida,64.0
Doctor,Healthcare,Stable,Low,200919.0,Doctorate,9,14840,14775,20.0,2.0,Bengaluru,34.0
Cashier,Retail,Declining,High,30090.0,High School,0,4488,3981,14.0,89.0,Bengaluru,40.0
Teacher,Education,Stable,Low,54772.0,Master,4,5762,6875,56.0,23.0,Bengaluru,49.0
Graphic Designer,Media,Active,Moderate,56421.0,Bachelor,5,2854,4301,5.0,46.0,Hyderabad,59.0
Doctor,Healthcare,Stable,Low,162509.0,Doctorate,6,6273,5671,45.0,1.0,Chennai,48.0
Graphic Designer,Media,Active,Moderate,62753.0,Bachelor,4,9210,13324,44.0,42.0,Delhi,52.0
Data Scientist,Technology,Active,High,148548.0,Master,3,10671,16586,65.0,13.0,Hyderabad,30.0
Cashier,Retail,Declining,High,28721.0,High School,0,2058,1241,26.0,79.0,Pune,53.0
Accountant,Finance,Stable,Moderate,71522.0,Bachelor,2,4358,4560,58.0,53.0,Jaipur,44.0
Graphic Designer,Media,Active,Moderate,54452.0,Bachelor,1,8350,9494,30.0,53.0,Noida,24.0
Teacher,Education,Stable,Low,56423.0,Master,5,8785,10098,7.0,20.0,Noida,41.0
Research Scientist,Research,Active,Low,127857.0,Doctorate,5,10425,12150,36.0,11.0,Bengaluru,28.0
Teacher,Education,Stable,Low,60411.0,Master,6,13699,12724,9.0,14.0,Kolkata,29.0
Graphic Designer,Media,Active,Moderate,57867.0,Bachelor,2,11245,17344,46.0,36.0,Noida,78.0
Data Scientist,Technology,Active,High,126861.0,Master,5,1424,2123,70.0,14.0,Chennai,64.0
Cybersecurity Analyst,Technology,Stable,Moderate,83871.0,Bachelor,2,15518,16226,74.0,32.0,Hyderabad,42.0
Graphic Designer,Media,Active,Moderate,72106.0,Bachelor,4,13050,18726,27.0,47.0,Jaipur,46.0
Cashier,Retail,Declining,High,34384.0,High School,2,7437,4781,26.0,97.0,Hyderabad,50.0
Doctor,Healthcare,Stable,Low,190140.0,Doctorate,7,15706,15911,38.0,1.0,Delhi,43.0
Graphic Designer,Media,Active,Moderate,71497.0,Bachelor,2,3440,5068,46.0,37.0,Delhi,38.0
AI Engineer,Technology,Active,High,119599.0,Master,6,17837,24596,70.0,19.0,Mumbai,53.0
Teacher,Education,Stable,Low,54106.0,Master,4,2331,2398,23.0,19.0,Kolkata,43.0
Doctor,Healthcare,Stable,Low,199898.0,Doctorate,4,9658,11350,28.0,9.0,Delhi,70.0
AI Engineer,Technology,Active,High,128539.0,Master,6,9356,11932,83.0,18.0,Bengaluru,68.0
Nurse,Healthcare,Stable,Low,86398.0,Bachelor,4,16280,17314,41.0,3.0,Delhi,41.0
Data Scientist,Technology,Active,High,127663.0,Master,3,6036,9182,76.0,21.0,Pune,33.0
Factory Worker,Manufacturing,Declining,High,48633.0,High School,1,2666,2403,0.0,87.0,Jaipur,42.0
Graphic Designer,Media,Active,Moderate,65669.0,Bachelor,5,10868,12441,9.0,44.0,Ahmedabad,45.0
Factory Worker,Manufacturing,Declining,High,41628.0,High School,3,12733,8773,39.0,85.0,Mumbai,31.0
Research Scientist,Research,Active,Low,126013.0,Doctorate,8,11415,13793,30.0,7.0,Noida,51.0
Cybersecurity Analyst,Technology,Stable,Moderate,101256.0,Bachelor,0,7025,7941,75.0,22.0,Noida,36.0
Software Engineer,Technology,Active,Moderate,107499.0,Bachelor,1,17552,20989,93.0,41.0,Delhi,70.0
Teacher,Education,Stable,Low,57882.0,Master,6,14219,16411,35.0,23.0,Mumbai,69.0
Nurse,Healthcare,Stable,Low,83578.0,Bachelor,3,8248,9808,44.0,2.0,Hyderabad,47.0
Graphic Designer,Media,Active,Moderate,72934.0,Bachelor,5,11875,15125,29.0,36.0,Pune,25.0
Nurse,Healthcare,Stable,Low,87248.0,Bachelor,3,10619,12654,14.0,6.0,Hyderabad,59.0
Factory Worker,Manufacturing,Declining,High,38901.0,High School,0,16560,15480,42.0,99.0,Noida,49.0
Graphic Designer,Media,Active,Moderate,69056.0,Bachelor,1,1288,1890,49.0,30.0,Mumbai,50.0
Graphic Designer,Media,Active,Moderate,57023.0,Bachelor,3,12337,18610,8.0,44.0,Ahmedabad,28.0
Cybersecurity Analyst,Technology,Stable,Moderate,82210.0,Bachelor,2,8989,10748,92.0,20.0,Bengaluru,65.0
Graphic Designer,Media,Active,Moderate,67089.0,Bachelor,1,11516,16547,12.0,28.0,Kolkata,72.0
Software Engineer,Technology,Active,Moderate,106734.0,Bachelor,3,13644,17115,97.0,44.0,Chennai,30.0
Cashier,Retail,Declining,High,36534.0,High School,2,10267,7997,23.0,86.0,Bengaluru,51.0
Cashier,Retail,Declining,High,28754.0,High School,1,13286,8759,42.0,91.0,Noida,59.0
Cashier,Retail,Declining,High,32859.0,High School,0,15600,9945,34.0,84.0,Ahmedabad,15.0
Data Scientist,Technology,Active,High,126362.0,Master,5,10713,16446,78.0,25.0,Hyderabad,19.0
Nurse,Healthcare,Stable,Low,91444.0,Bachelor,3,17839,17435,46.0,1.0,Mumbai,23.0
Software Engineer,Technology,Active,Moderate,84499.0,Bachelor,2,6485,10277,68.0,44.0,Noida,44.0
Cashier,Retail,Declining,High,34504.0,High School,2,1240,810,16.0,99.0,Mumbai,49.0
Cybersecurity Analyst,Technology,Stable,Moderate,98822.0,Bachelor,5,7985,9134,68.0,34.0,Kolkata,39.0
Software Engineer,Technology,Active,Moderate,104775.0,Bachelor,2,7736,10013,98.0,34.0,Noida,44.0
Research Scientist,Research,Active,Low,149112.0,Doctorate,6,15261,20741,35.0,12.0,Mumbai,36.0
Research Scientist,Research,Active,Low,146099.0,Doctorate,4,6038,7260,41.0,6.0,Bengaluru,68.0
Accountant,Finance,Stable,Moderate,69155.0,Bachelor,4,11869,10825,33.0,66.0,Bengaluru,43.0
Software Engineer,Technology,Active,Moderate,108853.0,Bachelor,4,3400,3997,78.0,40.0,Bengaluru,45.0
AI Engineer,Technology,Active,High,116902.0,Master,4,9254,12133,61.0,17.0,Noida,24.0
Software Engineer,Technology,Active,Moderate,125573.0,Bachelor,4,8459,12679,61.0,48.0,Chennai,38.0
Teacher,Education,Stable,Low,61200.0,Master,6,13715,15543,46.0,33.0,Ahmedabad,45.0
Graphic Designer,Media,Active,Moderate,64341.0,Bachelor,0,14252,16784,20.0,44.0,Kolkata,37.0
Nurse,Healthcare,Stable,Low,80253.0,Bachelor,2,1553,1503,64.0,17.0,Kolkata,58.0
Graphic Designer,Media,Active,Moderate,65344.0,Bachelor,2,4876,5672,38.0,42.0,Noida,41.0
Data Scientist,Technology,Active,High,142163.0,Master,3,3072,3949,63.0,21.0,Jaipur,45.0
Data Scientist,Technology,Active,High,125818.0,Master,3,3378,4344,50.0,17.0,Pune,31.0
Cashier,Retail,Declining,High,30929.0,High School,0,4477,3237,22.0,96.0,Chennai,51.0
Graphic Designer,Media,Active,Moderate,67693.0,Bachelor,3,10874,12372,50.0,47.0,Jaipur,57.0
Software Engineer,Technology,Active,Moderate,110484.0,Bachelor,3,10224,15463,80.0,29.0,Ahmedabad,38.0
Teacher,Education,Stable,Low,52153.0,Master,7,13947,16052,36.0,36.0,Bengaluru,56.0
Accountant,Finance,Stable,Moderate,72355.0,Bachelor,2,6122,6930,27.0,61.0,Noida,45.0
Cybersecurity Analyst,Technology,Stable,Moderate,111807.0,Bachelor,0,5468,5926,76.0,38.0,Kolkata,53.0
Cashier,Retail,Declining,High,27735.0,High School,1,10665,8716,44.0,85.0,Delhi,49.0
Doctor,Healthcare,Stable,Low,181017.0,Doctorate,7,13226,14956,54.0,1.0,Bengaluru,74.0
Cashier,Retail,Declining,High,29649.0,High School,1,5632,4215,31.0,82.0,Mumbai,19.0
Data Scientist,Technology,Active,High,128654.0,Master,2,1164,1800,68.0,22.0,Jaipur,27.0
Factory Worker,Manufacturing,Declining,High,42755.0,High School,2,13913,12097,30.0,78.0,Noida,51.0
Cashier,Retail,Declining,High,31022.0,High School,2,3789,2388,47.0,90.0,Chennai,40.0
Cybersecurity Analyst,Technology,Stable,Moderate,95335.0,Bachelor,3,12267,11310,53.0,32.0,Hyderabad,53.0
Teacher,Education,Stable,Low,68253.0,Master,4,17795,16399,5.0,15.0,Delhi,69.0
AI Engineer,Technology,Active,High,140393.0,Master,4,7029,10902,62.0,15.0,Hyderabad,57.0
Factory Worker,Manufacturing,Declining,High,43209.0,High School,2,9281,8603,26.0,78.0,Hyderabad,44.0
Software Engineer,Technology,Active,Moderate,95816.0,Bachelor,2,6942,9272,75.0,19.0,Jaipur,44.0
Data Scientist,Technology,Active,High,147252.0,Master,0,16114,20947,93.0,19.0,Noida,50.0
Software Engineer,Technology,Active,Moderate,98307.0,Bachelor,4,10524,12836,44.0,30.0,Mumbai,32.0
Doctor,Healthcare,Stable,Low,203923.0,Doctorate,10,4217,4242,15.0,15.0,Hyderabad,50.0
Research Scientist,Research,Active,Low,137749.0,Doctorate,11,16964,25876,32.0,7.0,Pune,46.0
Nurse,Healthcare,Stable,Low,83393.0,Bachelor,5,5201,4777,38.0,14.0,Hyderabad,26.0
Software Engineer,Technology,Active,Moderate,106154.0,Bachelor,1,10343,16245,51.0,35.0,Jaipur,50.0
Software Engineer,Technology,Active,Moderate,109475.0,Bachelor,2,7340,8590,91.0,32.0,Pune,50.0
Accountant,Finance,Stable,Moderate,63136.0,Bachelor,3,15766,17660,54.0,73.0,Pune,44.0
Factory Worker,Manufacturing,Declining,High,43409.0,High School,1,11016,8138,48.0,82.0,Jaipur,51.0
AI Engineer,Technology,Active,High,152399.0,Master,6,12943,18321,64.0,26.0,Pune,60.0
Teacher,Education,Stable,Low,67832.0,Master,4,6525,7605,50.0,19.0,Bengaluru,26.0
Nurse,Healthcare,Stable,Low,72661.0,Bachelor,2,9066,9422,21.0,6.0,Hyderabad,50.0
Research Scientist,Research,Active,Low,157303.0,Doctorate,9,15290,23541,26.0,4.0,Chennai,69.0
Nurse,Healthcare,Stable,Low,78582.0,Bachelor,4,5400,5722,55.0,7.0,Pune,61.0
Accountant,Finance,Stable,Moderate,61357.0,Bachelor,3,16166,17531,2.0,69.0,Ahmedabad,41.0
Nurse,Healthcare,Stable,Low,101197.0,Bachelor,4,11009,12147,42.0,14.0,Ahmedabad,14.0
Cashier,Retail,Declining,High,38471.0,High School,2,4566,2972,34.0,72.0,Delhi,36.0
Graphic Designer,Media,Active,Moderate,68085.0,Bachelor,4,3686,4122,31.0,39.0,Chennai,45.0
AI Engineer,Technology,Active,High,138165.0,Master,3,7436,10844,86.0,15.0,Chennai,52.0
Research Scientist,Research,Active,Low,137376.0,Doctorate,6,3505,5007,20.0,13.0,Mumbai,27.0
Data Scientist,Technology,Active,High,140636.0,Master,4,17619,28141,100.0,22.0,Bengaluru,18.0
Factory Worker,Manufacturing,Declining,High,44042.0,High School,0,14275,8827,42.0,80.0,Jaipur,46.0
Cybersecurity Analyst,Technology,Stable,Moderate,105869.0,Bachelor,1,2201,2571,66.0,24.0,Noida,49.0
Doctor,Healthcare,Stable,Low,176701.0,Doctorate,8,16469,17686,21.0,5.0,Delhi,45.0
Nurse,Healthcare,Stable,Low,91836.0,Bachelor,3,13861,16167,54.0,14.0,Hyderabad,30.0
Factory Worker,Manufacturing,Declining,High,44186.0,High School,0,10535,8352,25.0,99.0,Delhi,72.0
Accountant,Finance,Stable,Moderate,82789.0,Bachelor,4,17420,19711,35.0,62.0,Noida,55.0
Software Engineer,Technology,Active,Moderate,108241.0,Bachelor,5,14001,17873,25.0,38.0,Pune,55.0
Cashier,Retail,Declining,High,27341.0,High School,4,1347,1034,46.0,95.0,Hyderabad,32.0
Factory Worker,Manufacturing,Declining,High,45358.0,High School,4,6434,4678,51.0,91.0,Noida,38.0
AI Engineer,Technology,Active,High,119489.0,Master,5,15621,19447,77.0,24.0,Delhi,49.0
AI Engineer,Technology,Active,High,90517.0,Master,1,5790,7061,57.0,18.0,Ahmedabad,39.0
Nurse,Healthcare,Stable,Low,78784.0,Bachelor,1,2324,2092,35.0,4.0,Hyderabad,59.0
Accountant,Finance,Stable,Moderate,82441.0,Bachelor,2,8593,8898,54.0,60.0,Mumbai,71.0
Doctor,Healthcare,Stable,Low,159213.0,Doctorate,6,13105,14783,16.0,3.0,Hyderabad,65.0
Data Scientist,Technology,Active,High,134648.0,Master,1,7775,11610,93.0,23.0,Noida,56.0
Nurse,Healthcare,Stable,Low,85107.0,Bachelor,5,13717,13152,47.0,23.0,Ahmedabad,37.0
Accountant,Finance,Stable,Moderate,77610.0,Bachelor,1,2521,2362,61.0,63.0,Bengaluru,29.0
Graphic Designer,Media,Active,Moderate,70543.0,Bachelor,4,11619,13909,30.0,42.0,Mumbai,47.0
Research Scientist,Research,Active,Low,151674.0,Doctorate,5,9961,11127,71.0,16.0,Chennai,42.0
Factory Worker,Manufacturing,Declining,High,46054.0,High School,2,6696,6236,21.0,87.0,Kolkata,45.0
Graphic Designer,Media,Active,Moderate,60088.0,Bachelor,2,13403,15816,33.0,48.0,Pune,54.0
Factory Worker,Manufacturing,Declining,High,44524.0,High School,1,3550,2170,60.0,90.0,Noida,21.0
Doctor,Healthcare,Stable,Low,207511.0,Doctorate,8,13331,15120,60.0,10.0,Hyderabad,48.0
Cashier,Retail,Declining,High,32576.0,High School,0,14298,11138,18.0,89.0,Pune,29.0
Nurse,Healthcare,Stable,Low,83410.0,Bachelor,4,16953,18112,42.0,21.0,Ahmedabad,35.0
Factory Worker,Manufacturing,Declining,High,40964.0,High School,1,1216,782,8.0,73.0,Noida,54.0
AI Engineer,Technology,Active,High,119691.0,Master,7,15414,18111,80.0,7.0,Delhi,67.0
Cybersecurity Analyst,Technology,Stable,Moderate,92676.0,Bachelor,2,3526,3986,64.0,40.0,Noida,31.0
Graphic Designer,Media,Active,Moderate,53687.0,Bachelor,2,10201,14295,28.0,42.0,Hyderabad,36.0
AI Engineer,Technology,Active,High,132311.0,Master,6,7124,9776,89.0,13.0,Delhi,66.0
Nurse,Healthcare,Stable,Low,83048.0,Bachelor,4,4877,5366,44.0,8.0,Hyderabad,23.0
Teacher,Education,Stable,Low,60800.0,Master,4,11820,12946,34.0,8.0,Mumbai,51.0
Accountant,Finance,Stable,Moderate,83466.0,Bachelor,3,16689,15949,10.0,54.0,Ahmedabad,45.0
Cybersecurity Analyst,Technology,Stable,Moderate,105448.0,Bachelor,3,6283,5977,70.0,38.0,Kolkata,31.0
Data Scientist,Technology,Active,High,137952.0,Master,4,8984,12974,68.0,27.0,Bengaluru,25.0
AI Engineer,Technology,Active,High,147776.0,Master,6,6279,8437,63.0,26.0,Delhi,61.0
Graphic Designer,Media,Active,Moderate,64456.0,Bachelor,3,17798,23269,19.0,46.0,Bengaluru,69.0
Factory Worker,Manufacturing,Declining,High,49930.0,High School,1,5812,4209,33.0,88.0,Bengaluru,43.0
AI Engineer,Technology,Active,High,159318.0,Master,4,9462,13927,47.0,16.0,Delhi,40.0
Cashier,Retail,Declining,High,28784.0,High School,1,14285,8716,43.0,80.0,Jaipur,36.0
Factory Worker,Manufacturing,Declining,High,45135.0,High School,1,1610,1187,65.0,81.0,Chennai,40.0
Software Engineer,Technology,Active,Moderate,112956.0,Bachelor,1,8097,9898,52.0,30.0,Ahmedabad,35.0
Factory Worker,Manufacturing,Declining,High,54543.0,High School,2,16447,12696,7.0,83.0,Ahmedabad,44.0
AI Engineer,Technology,Active,High,170110.0,Master,2,8188,9769,76.0,14.0,Kolkata,51.0
Factory Worker,Manufacturing,Declining,High,46128.0,High School,3,5676,5048,39.0,88.0,Jaipur,35.0
AI Engineer,Technology,Active,High,127225.0,Master,5,17738,24558,82.0,8.0,Chennai,62.0
AI Engineer,Technology,Active,High,143530.0,Master,4,12228,15544,73.0,23.0,Ahmedabad,36.0
Factory Worker,Manufacturing,Declining,High,52646.0,High School,0,3255,2763,40.0,83.0,Hyderabad,45.0
Teacher,Education,Stable,Low,51117.0,Master,3,13630,13278,16.0,28.0,Delhi,6.0
Software Engineer,Technology,Active,Moderate,113893.0,Bachelor,1,1542,2042,61.0,38.0,Hyderabad,49.0
Cashier,Retail,Declining,High,30526.0,High School,0,17526,14897,20.0,84.0,Kolkata,45.0
AI Engineer,Technology,Active,High,140803.0,Master,5,4155,4814,58.0,30.0,Delhi,22.0
Accountant,Finance,Stable,Moderate,72408.0,Bachelor,1,2279,2720,22.0,60.0,Noida,24.0
Cashier,Retail,Declining,High,38822.0,High School,2,4850,3253,0.0,96.0,Mumbai,44.0
Accountant,Finance,Stable,Moderate,61992.0,Bachelor,3,5270,6000,48.0,82.0,Jaipur,70.0
Cashier,Retail,Declining,High,35285.0,High School,0,1039,710,50.0,86.0,Kolkata,55.0
Cashier,Retail,Declining,High,32662.0,High School,2,14784,11239,6.0,87.0,Pune,44.0
Data Scientist,Technology,Active,High,136685.0,Master,3,15056,24044,82.0,15.0,Hyderabad,23.0
Accountant,Finance,Stable,Moderate,72569.0,Bachelor,2,13492,14738,42.0,68.0,Pune,62.0
Factory Worker,Manufacturing,Declining,High,54831.0,High School,1,4201,3364,21.0,83.0,Kolkata,24.0
AI Engineer,Technology,Active,High,153572.0,Master,6,9340,10647,59.0,16.0,Ahmedabad,9.0
Cybersecurity Analyst,Technology,Stable,Moderate,110950.0,Bachelor,0,3746,4102,82.0,37.0,Chennai,49.0
Factory Worker,Manufacturing,Declining,High,47646.0,High School,3,14390,12829,51.0,95.0,Chennai,35.0
Cybersecurity Analyst,Technology,Stable,Moderate,80242.0,Bachelor,3,1179,1138,93.0,21.0,Bengaluru,47.0
Factory Worker,Manufacturing,Declining,High,41774.0,High School,2,4861,3031,29.0,91.0,Noida,67.0
Data Scientist,Technology,Active,High,126858.0,Master,4,13288,19817,100.0,25.0,Hyderabad,34.0
Research Scientist,Research,Active,Low,144728.0,Doctorate,8,11351,17805,36.0,4.0,Kolkata,44.0
Nurse,Healthcare,Stable,Low,81953.0,Bachelor,5,4492,4573,12.0,14.0,Delhi,78.0
Teacher,Education,Stable,Low,58950.0,Master,6,9311,9445,37.0,8.0,Chennai,31.0
Cashier,Retail,Declining,High,31635.0,High School,0,14879,9637,16.0,87.0,Jaipur,67.0
Nurse,Healthcare,Stable,Low,93820.0,Bachelor,4,10029,9148,46.0,8.0,Kolkata,52.0
Cybersecurity Analyst,Technology,Stable,Moderate,83646.0,Bachelor,5,14540,14491,66.0,18.0,Noida,36.0
Cashier,Retail,Declining,High,34727.0,High School,2,16809,12600,27.0,99.0,Delhi,49.0
Nurse,Healthcare,Stable,Low,92168.0,Bachelor,2,16851,15938,20.0,3.0,Chennai,61.0
Doctor,Healthcare,Stable,Low,164977.0,Doctorate,9,12283,14308,47.0,5.0,Kolkata,28.0
Research Scientist,Research,Active,Low,129932.0,Doctorate,8,5524,7409,40.0,11.0,Mumbai,75.0
Research Scientist,Research,Active,Low,162040.0,Doctorate,7,8529,9675,35.0,20.0,Ahmedabad,54.0
Research Scientist,Research,Active,Low,145742.0,Doctorate,5,6301,8334,20.0,25.0,Mumbai,38.0
Cybersecurity Analyst,Technology,Stable,Moderate,75253.0,Bachelor,1,17657,18212,75.0,30.0,Kolkata,49.0
Nurse,Healthcare,Stable,Low,74310.0,Bachelor,4,2705,2821,27.0,19.0,Delhi,57.0
Teacher,Education,Stable,Low,56777.0,Master,6,1173,1371,42.0,15.0,Mumbai,47.0
AI Engineer,Technology,Active,High,153760.0,Master,5,16455,22284,76.0,9.0,Jaipur,52.0
Teacher,Education,Stable,Low,52288.0,Master,6,3888,4341,18.0,10.0,Mumbai,44.0
Doctor,Healthcare,Stable,Low,173203.0,Doctorate,9,8266,8449,19.0,17.0,Pune,47.0
Software Engineer,Technology,Active,Moderate,115317.0,Bachelor,0,2237,3405,68.0,41.0,Kolkata,34.0
Teacher,Education,Stable,Low,56155.0,Master,1,10387,11605,36.0,28.0,Jaipur,49.0
Data Scientist,Technology,Active,High,125363.0,Master,4,6743,9810,60.0,23.0,Ahmedabad,41.0
Accountant,Finance,Stable,Moderate,60935.0,Bachelor,5,1350,1479,31.0,64.0,Hyderabad,57.0
Graphic Designer,Media,Active,Moderate,70540.0,Bachelor,0,17978,25804,33.0,49.0,Chennai,36.0
Cybersecurity Analyst,Technology,Stable,Moderate,95568.0,Bachelor,5,2101,2456,79.0,25.0,Jaipur,34.0
Cashier,Retail,Declining,High,29262.0,High School,0,17902,12757,17.0,91.0,Hyderabad,60.0
Factory Worker,Manufacturing,Declining,High,39752.0,High School,5,6553,4314,51.0,92.0,Bengaluru,25.0
Nurse,Healthcare,Stable,Low,81161.0,Bachelor,3,8839,8248,15.0,19.0,Bengaluru,69.0
AI Engineer,Technology,Active,High,134840.0,Master,4,3845,5591,77.0,22.0,Chennai,36.0
Teacher,Education,Stable,Low,53370.0,Master,3,12571,13554,24.0,24.0,Kolkata,60.0
Teacher,Education,Stable,Low,54584.0,Master,6,7563,8060,48.0,17.0,Noida,51.0
Data Scientist,Technology,Active,High,105590.0,Master,5,3248,4713,66.0,24.0,Mumbai,57.0
Cashier,Retail,Declining,High,31449.0,High School,0,10322,8392,41.0,89.0,Noida,31.0
